id,basicwgt,statecensus,age,sex,race_ethnicity,educ,laborforce,industry,Occupation,educ_code
4.10E+11,3163.8069,AZ,71,Male,Hispanic,Some college,Not in labor force-retired,,-1,3
4.10E+11,3300.8667,AZ,58,Female,White,Some college,Employed-at work,Educational and health services,Billing and Posting Clerks,3
4.11E+11,4095.3013,AZ,40,Male,White,Advanced,Employed-at work,Educational and health services,Postsecondary Teachers,5
4.11E+11,4762.7534,AZ,24,Female,Black,Some college,Employed-at work,Leisure and hospitality,Exercise Trainers and Group Fitness Instructors,3
4.11E+11,4254.4839,AZ,30,Female,White,College,Employed-at work,race_ethnicity,First-Line Supervisors of Office and Administrative Support Workers,4
4.11E+11,4585.8184,AZ,30,Male,White,College,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,4
4.11E+11,3084.6885,AZ,62,Female,White,Some college,Not in labor force-retired,,-1,3
4.11E+11,,AZ,22,Male,Black,High school,,,-1,2
4.11E+11,4472.2017,AZ,22,Female,Black,High school,Employed-at work,Educational and health services,Receptionists and Information Clerks,2
4.12E+11,4346.7036,AZ,23,Female,White,College,Not in labor force-other,,-1,4
4.12E+11,3520.1917,AZ,51,Female,White,College,Not in labor force-other,,-1,4
4.12E+11,3442.4734,AZ,52,Male,White,College,Employed-absent,Professional and business services,"Physical Scientists, All Other",4
4.12E+11,4473.8848,AZ,17,Female,White,Less than high school,Employed-at work,Wholesale and retail trade,Retail Salespersons,1
4.12E+11,4405.0522,AZ,37,Male,Hispanic,Some college,Not in labor force-other,,-1,3
4.12E+11,5112.3804,AZ,34,Female,Hispanic,High school,Employed-at work,Transportation and utilities,"Packers and Packagers, Hand",2
4.12E+11,,AZ,9,Female,Hispanic,,,,-1,NA
4.12E+11,,AZ,13,Female,Hispanic,,,,-1,NA
4.13E+11,3704.875,AZ,50,Female,White,College,Employed-at work,Professional and business services,Human Resources Workers,4
4.13E+11,4027.8496,AZ,68,Female,White,College,Not in labor force-retired,,-1,4
4.13E+11,3848.0896,AZ,70,Male,White,College,Not in labor force-retired,,-1,4
4.13E+11,3073.6143,AZ,80,Female,White,Advanced,Not in labor force-retired,,-1,5
4.13E+11,3073.6143,AZ,79,Female,White,College,Not in labor force-retired,,-1,4
4.14E+11,3896.0149,AZ,38,Male,White,College,Employed-at work,Leisure and hospitality,Chefs and Head Cooks,4
4.14E+11,3432.2368,AZ,77,Female,Black,Advanced,Not in labor force-retired,,-1,5
4.14E+11,3846.6926,AZ,36,Female,Black,High school,Not in labor force-disabled,,-1,2
4.14E+11,3039.1758,AZ,70,Male,White,College,Not in labor force-retired,,-1,4
4.15E+11,3726.6724,AZ,66,Female,White,College,Employed-at work,Professional and business services,Accountants and Auditors,4
4.15E+11,3059.125,AZ,72,Male,White,College,Not in labor force-disabled,Professional and business services,Security Guards and Gambling Surveillance Officers,4
4.15E+11,2747.2434,AZ,73,Female,White,College,Not in labor force-retired,,-1,4
4.15E+11,4009.2971,AZ,49,Male,Hispanic,Some college,Employed-at work,Construction,Carpenters,3
4.15E+11,4038.7529,AZ,52,Female,Hispanic,High school,Not in labor force-other,,-1,2
4.15E+11,,AZ,13,Female,Hispanic,,,,-1,NA
4.15E+11,,AZ,14,Female,Hispanic,,,,-1,NA
4.15E+11,,AZ,15,Male,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.15E+11,4245.9409,AZ,18,Female,Hispanic,Less than high school,Unemployed-looking,,-1,1
4.15E+11,4681.9028,AZ,19,Male,Hispanic,Less than high school,Employed-at work,Leisure and hospitality,Fast Food and Counter Workers,1
4.15E+11,3613.636,AZ,57,Male,Hispanic,Advanced,Not in labor force-other,,-1,5
4.15E+11,3224.303,AZ,60,Female,Hispanic,College,Employed-at work,Educational and health services,Personal Care Aides,4
4.15E+11,4008.8806,AZ,42,Male,Hispanic,Some college,Employed-at work,Professional and business services,Other Designers,3
4.15E+11,4187.8003,AZ,35,Female,White,Advanced,Employed-at work,Educational and health services,Physical Therapists,5
4.15E+11,,AZ,2,Male,Hispanic,,,,-1,NA
4.15E+11,,AZ,13,Male,Hispanic,,,,-1,NA
4.15E+11,,AZ,15,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.15E+11,3748.2002,AZ,40,Female,White,College,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,4
4.15E+11,3980.8115,AZ,42,Male,White,Some college,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,3
4.15E+11,,AZ,8,Female,White,,,,-1,NA
4.15E+11,,AZ,10,Female,White,,,,-1,NA
4.15E+11,4455.2192,AZ,64,Male,Black,College,Unemployed-on layoff,Educational and health services,Tutors,4
4.15E+11,3434.1277,AZ,49,Female,Asian,Some college,Employed-at work,Leisure and hospitality,Lodging Managers,3
4.15E+11,3358.0044,AZ,59,Female,White,Advanced,Employed-at work,Financial activities,Real Estate Brokers and Sales Agents,5
4.15E+11,3496.6936,AZ,60,Male,White,College,Employed-at work,Financial activities,Accountants and Auditors,4
4.15E+11,4380.4121,AZ,47,Male,Hispanic,Less than high school,Employed-at work,Construction,Construction Laborers,1
4.15E+11,3485.0049,AZ,43,Female,Hispanic,College,Not in labor force-other,,-1,4
4.15E+11,3469.7456,AZ,17,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.15E+11,4706.9985,AZ,33,Male,White,College,Employed-at work,Educational and health services,Compliance Officers,4
4.15E+11,4706.9985,AZ,34,Male,White,Some college,Employed-at work,Educational and health services,"Eligibility Interviewers, Government Programs",3
4.16E+11,3508.0259,AZ,49,Male,White,High school,Employed-at work,Leisure and hospitality,Other Entertainment Attendants and Related Workers,2
4.16E+11,2765.3301,AZ,80,Female,White,Advanced,Not in labor force-retired,,-1,5
4.16E+11,4019.1086,AZ,64,Female,Black,Some college,Not in labor force-other,,-1,3
4.16E+11,3049.8247,AZ,70,Male,White,Some college,Employed-at work,Financial activities,Personal Financial Advisors,3
4.16E+11,3415.3762,AZ,46,Female,White,Some college,Not in labor force-retired,,-1,3
7.00E+11,3273.468,AZ,58,Female,White,Advanced,Employed-at work,Educational and health services,School Psychologists,5
7.60E+11,4224.3032,AZ,69,Female,White,College,Employed-at work,Financial activities,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4
1.78E+12,2986.2305,AZ,69,Male,White,Some college,Employed-at work,Wholesale and retail trade,Retail Salespersons,3
1.78E+12,2514.4878,AZ,68,Female,White,Some college,Not in labor force-retired,Educational and health services,Registered Nurses,3
2.71E+12,4201.061,AZ,40,Male,White,Some college,Employed-at work,Financial activities,Loan Interviewers and Clerks,3
3.02E+12,4644.7617,AZ,59,Male,Hispanic,High school,Employed-at work,Construction,Construction Laborers,2
3.02E+12,4512.4688,AZ,59,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
3.02E+12,4666.231,AZ,22,Male,Hispanic,College,Employed-at work,Leisure and hospitality,Waiters and Waitresses,4
3.02E+12,4349.7354,AZ,34,Female,Hispanic,Some college,Not in labor force-other,,-1,3
3.02E+12,4344.7485,AZ,31,Male,White,High school,Employed-at work,Construction,"Plumbers, Pipefitters, and Steamfitters",2
3.02E+12,4747.6235,AZ,28,Female,White,High school,Employed-at work,Transportation and utilities,"Managers, All Other",2
3.02E+12,,AZ,0,Female,White,,,,-1,NA
